0,1,0,0,1,0,0,1,0,0,1,0,0,128.3482454,188.0732175,202.9769304,0,0,0,0,265.7828141,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,128.3482454,188.0732175,202.9769304,0,0,0,0,265.7828141,0,0
1,0,0,1,1,0,1,0,0,0,0.999670743,0,0,0,1,1,0,1,0,0,1,1,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15900524.62,1,0,1.038459847,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,1.038459847,0,0,0,0,0,0,0,68.32788924,0,0,0,0,1,100000
0,0,0,0,0,0,0,0,1.038459847,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,1,0,0,0,0.999670743,0,0,0,1,1,0,1,0,0,1,1,1.399061889
0,0,0,0,1,19557986.63,1,1,0,0,1,0,76.23661171,128.3482454,28.3422591,61.1764379,787.0077245,23995702.56,0,0,26.70196031,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,128.3482454,9.371488492,10.11412467,0,7934281.089,0,0,13.24367508,0,0
4.074953936,1,4.145261396,1,1,0,1,12.65989921,2.169934194,20.76545887,0,0,0,0,1,1,1,1,4656.248279,0,1,1,0
0,1,0,1,1,0,10.12119592,0,0,0,0,0,0,0,24.54043746,52.97024993,1,41553853.27,4656.248279,0,1,0,0
0,0,1,0,0,1,1,1,1.038459847,0,0,0,0,2.429123624,0,0,68.32788924,0,1,0,0,0,100000
4.074953936,1,0,0,0,0,0,0,2.169934194,20.76545887,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,0,1,0,2.429123624,0,0,0,1,1,0,0,1,0
1,1,0,0,1,1,1,0,1,1,0,1,0,0.972980133,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,1.038459847,0,0,0,1.056644275,0,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1.038459847,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,1,1,0,0,0,0,0,0,2.429123624,0,0,1,0,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,0,2.429123624,0,0,0,0,1,0,0,0,0
4.074953936,1,0,0,0,0,1,0,1.038459847,1,0,0,1.056644275,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.014852686,1,0,0,0,0,0,0,0,100000,68.32788924,0,0,0,100000,0,0
